,SYMBOL,DATE,5_min_window,avgVol,avgPrice,avgSize,PRICE_1,U_SEQ,totalSum,sectionVol
68285,A,20021202,09:30:00,0.002386816380316936,19.832500000000014,1000.9615384615385,19.922181818181816,0.004511768989756336,1,
68286,A,20021202,09:35:00,0.0008612930426342493,19.922181818181816,389.09090909090907,19.889599999999987,-0.001636793128464657,2,0.004347689968340787
68287,A,20021202,09:40:00,0.000608676311518599,19.889599999999987,1430.0,19.97896551724138,0.00448301391083042,3,0.0035416023015576777
68288,A,20021202,09:45:00,0.00074510329214367,19.97896551724138,647.1264367816092,20.022187499999987,0.0021610376861302153,4,0.0028953801034377587
68289,A,20021202,09:50:00,0.0010225904670034375,20.022187499999987,512.5,20.084375,0.003101115925239953,5,0.0025281398767515928
68290,A,20021202,09:55:00,0.000993874207981763,20.084375,790.625,19.980754716981128,-0.005172603447832859,6,0.003871203602567528
68291,A,20021202,10:00:00,0.0012008510412718383,19.980754716981128,484.9056603773585,19.804347826086957,-0.00886804535881782,7,0.005204635136547415
68292,A,20021202,10:05:00,0.0013731980807456259,19.804347826086957,526.0869565217391,19.840263157894736,0.0018118650046883168,8,0.004870924423398307
68293,A,20021202,10:10:00,0.0011765727312777116,19.840263157894736,518.421052631579,19.8175,-0.0011479800463778838,9,0.004573766614693463
68294,A,20021202,10:15:00,0.0010188502922477817,19.8175,410.0,19.773207547169807,-0.002237518551875298,10,0.00436562759992682
68295,A,20021202,10:20:00,0.0009447166226494442,19.773207547169807,433.9622641509434,19.653611111111108,-0.00606677418813532,11,0.004491847338660791
68296,A,20021202,10:25:00,0.0009521008740764245,19.653611111111108,536.1111111111111,19.567454545454545,-0.004393389256316165,12,0.004405034202363761
68297,A,20021202,10:30:00,0.0009857906949243926,19.567454545454545,580.0,19.450249999999993,-0.006007780280560109,13,0.004429912613925777
68298,A,20021202,10:35:00,0.0011634473821641525,19.450249999999993,590.0,19.471111111111114,0.0010719621571916296,14,0.004311149012683636
68299,A,20021202,10:40:00,0.0010581232506191175,19.471111111111114,3141.6666666666665,19.54583333333333,0.003830249376988055,15,0.004361463749548996
68300,A,20021202,10:45:00,0.0008301284689427374,19.54583333333333,962.5,19.4265909090909,-0.006119342004484412,16,0.00440579362170284
68301,A,20021202,10:50:00,0.0007140736154574814,19.4265909090909,1229.5454545454545,19.40432432432432,-0.0011468484362660823,17,0.00426603749506845
68302,A,20021202,10:55:00,0.0011797149587476983,19.40432432432432,1129.7297297297298,19.32764705882353,-0.0039593835755431725,18,0.004186433406247607
68303,A,20021202,11:00:00,0.0011968034873157964,19.32764705882353,652.9411764705883,19.34188888888889,0.0007365917568054657,19,0.00409880233582108
68304,A,20021202,11:05:00,0.0011579021610941128,19.34188888888889,540.7407407407408,19.44066666666667,0.005093939270116488,20,0.004239320713056909
68305,A,20021202,11:10:00,0.000855641449086229,19.44066666666667,1033.3333333333333,19.46769230769231,0.0013891948200521584,21,0.004164679689569297
68306,A,20021202,11:15:00,0.0007389388820342505,19.46769230769231,384.61538461538464,19.462380952380947,-0.00027286644486050225,22,0.004066399726982831
68307,A,20021202,11:20:00,0.0008313547669315101,19.462380952380947,309.5238095238095,19.448235294117644,-0.0007270848036364754,23,0.003972998135148726
68308,A,20021202,11:25:00,0.00091997315043456,19.448235294117644,1023.5294117647059,19.432121212121213,-0.0008289061298340528,24,0.0038856713728241793
68309,A,20021202,11:30:00,0.0010191497873022507,19.432121212121213,427.27272727272725,19.444347826086954,0.0006289981920341559,25,0.0038153389047911
68310,A,20021202,11:35:00,0.001016247465673962,19.444347826086954,221.7391304347826,19.40565217391305,-0.001992054824719473,26,0.0037456715512141654
68311,A,20021202,11:40:00,0.0009468429385108575,19.40565217391305,382.60869565217394,19.36461538461539,-0.002116921404307991,27,0.003681185652602912
68312,A,20021202,11:45:00,0.0008514154201168906,19.36461538461539,330.7692307692308,19.333793103448276,-0.0015929485934395853,28,0.0036148543794154117
68313,A,20021202,11:50:00,0.0008076606585738148,19.333793103448276,568.9655172413793,19.272800000000004,-0.003159727356955144,29,0.0035742248639421383
68314,A,20021202,11:55:00,0.0008028750486198278,19.272800000000004,276.0,19.2692,-0.000186809195707089,30,0.0035150980861927187
68315,A,20021202,12:00:00,0.0007904359240395296,19.2692,492.0,19.287777777777777,0.0009636532885175796,31,0.0034732517791998606
68316,A,20021202,12:05:00,0.0008200885295654409,19.287777777777777,361.1111111111111,19.28896551724137,6.157800594447927e-05,32,0.003420984087533976
68317,A,20021202,12:10:00,0.00142321601358292,19.28896551724137,300.0,19.27052631578947,-0.0009564027937546596,33,0.003367141804010212
68318,A,20021202,12:15:00,0.0016496626396390966,19.27052631578947,210.52631578947367,19.24892857142857,-0.0011213941987209181,34,0.0033160099533599188
68319,A,20021202,12:20:00,0.00169914586955501,19.24892857142857,392.85714285714283,19.203703703703702,-0.0023522388924542403,35,0.0032763658124400855
68320,A,20021202,12:25:00,0.0017361615511776614,19.203703703703702,537.0370370370371,19.322727272727274,0.006178820341175693,36,0.003439170787732453
68321,A,20021202,12:30:00,0.0011930210705217957,19.322727272727274,1042.4242424242425,19.36933333333333,0.002409077336098528,37,0.0034299463931338177
68322,A,20021202,12:35:00,0.0010370171935991702,19.36933333333333,446.6666666666667,19.479772727272728,0.0056855718260160745,38,0.003535406704713954
68323,A,20021202,12:40:00,0.0009613129559507236,19.479772727272728,759.0909090909091,19.472941176470584,-0.00035076122752660866,39,0.003488632296097382
68324,A,20021202,12:45:00,0.0010043096342751284,19.472941176470584,670.5882352941177,19.46764705882353,-0.0002719074323008435,40,0.003443756990876471
68325,A,20021202,12:50:00,0.0009607850452773947,19.46764705882353,294.11764705882354,19.453000000000003,-0.0007526626930356531,41,0.0034007359749651644
68326,A,20021202,12:55:00,0.0009176128825466211,19.453000000000003,455.0,19.417142857142856,-0.0018449715073168289,42,0.0033656892237620465
68327,A,20021202,13:00:00,0.0008246633476755976,19.417142857142856,442.85714285714283,19.312499999999996,-0.005403773650399239,43,0.003408296643804329
68328,A,20021202,13:05:00,0.0007967292852841332,19.312499999999996,603.125,19.2408,-0.00371953024324954,44,0.0034007315178818933
68329,A,20021202,13:10:00,0.0007882161512187118,19.2408,456.0,19.208583333333337,-0.0016757966663264272,45,0.0033650855471426145
